배우 이름,정보 1,정보 2,정보 3,정보 4,정보 5,정보 6,정보 7,정보 8,정보 9,정보 10,정보 11,정보 12
주원(1편),다른 이름문준원,직업배우,생년월일1987-09-30,성별남,"홈페이지 https://www.instagram.com/zu.won_moon.jun.won/
https://twitter.com/moonjunwon",신장/체중185cm,학교성균관대학교 연기예술학,소속사심엔터테인먼트,,,,
박보영(1편),직업배우,생년월일1990-02-12,성별여,"신장/체중158cm, 41kg",학교단국대학교 연극영화 (재학),소속사휴메인엔터테인먼트,,,,,,
정소민(1편),다른 이름Jung Somin,직업배우,생년월일1989-03-16,성별여,"홈페이지 https://www.instagram.com/somin_jj/
https://www.facebook.com/official.jsm",학교한국예술종합학교 연극원 연기과,,,,,,
김윤석(6편),다른 이름金倫碩,직업배우,생년월일1968-01-21,성별남,"신장/체중178cm, 68kg",학교동의대학교 학사,"취미여행, 낚시",소속사심엔터테인먼트,,,,
김선영(9편),직업배우,생년월일1976-04-10,성별여,,,,,,,,,
김시후(2편),원어명金詩后,다른 이름김영준,직업배우,생년월일1988-01-02,성별남,홈페이지 www.facebook.com/official.ksh,"신장/체중178cm, 60kg",학교대진대학교 연극영상학 (재학),"취미음악듣기, 영화감상, 농구, 게임",특기합기도,,
박훈(4편),다른 이름박원희,직업배우,생년월일1981-04-27,성별남,홈페이지 instagram.com/hoonparkstory/,,,,,,,
이무생(4편),직업배우,생년월일1980-05-10,성별남,홈페이지 https://instagram.com/leemusaeng_official/,신장/체중183cm,학교세종대학교 영화과,,,,,,
이주빈(1편),직업배우,생년월일1989-09-18,성별여,홈페이지 http://instagram.com/hellobeen,,,,,,,,
신승호(1편),직업배우,생년월일1995-11-11,성별남,홈페이지 instagram.com/seungho__shin/,,,,,,,,
권상우(2편),다른 이름權相祐,직업배우,생년월일1976-08-08,성별남,신장/체중183cm,학교한남대학교 미술교육학 학사,소속사벨액터스 엔터테인먼트,,,,,
백윤식(2편),직업배우,생년월일1947-03-16,성별남,홈페이지 http://www.baekyoonsik.co.kr/,학교중앙대학교대학원 연극영화학,"취미낚시, 여행",,,,,,
송혜교(1편),직업배우,생년월일1982-02-26,성별여,"홈페이지 http://songhyekyo.co.kr/
https://instagram.com/kyo1122/","신장/체중161cm, 45kg",학교세종대학교 영화예술학 (자퇴),취미수영,"특기피겨스케이팅, 수영, 피아노 연주",,,,
정재영(4편),원어명鄭在詠,직업배우,생년월일1970-11-21,성별남,신장/체중180cm,학교서울예술대학 연극과,,,,,,
강동원(6편),원어명姜東元,직업배우,생년월일1981-01-18,성별남,홈페이지 http://www.gangdongwon.com,신장/체중186cm,,,,,,
이솜(5편),다른 이름이소영,직업배우,생년월일1990-01-30,성별여,홈페이지 http://www.artistcompany.co.kr/portfolio-item/esom/,소속사아티스트컴퍼니,,,,,,
임영웅(2편),직업가수,생년월일1991-06-16,성별남,홈페이지 instagram.com/im_hero____,,,,,,,,
이선균(6편),다른 이름Seon-gyun Lee,직업배우,생년월일1975-03-02,사망2023-12-27,성별남,"신장/체중180cm, 70kg",학교한국예술종합학교 연극,취미만화책보기,소속사호두엔터테인먼트,,,
이규형(2편),직업배우,생년월일1983-11-29,성별남,홈페이지 instagram.com/kh_actor/,학교동국대학교 연극과 학사,,,,,,,
정준호(5편),다른 이름鄭俊鎬,직업배우,생년월일1970-10-01,성별남,홈페이지 https://www.facebook.com/jungjunho1001,신장/체중183cm,학교경희대언론정보대학원 문화콘텐츠학,취미비디오 감상,"특기골프, 배구",,,
이유영(5편),직업배우,생년월일1989-12-08,성별여,홈페이지 https://www.instagram.com/___2u0/,,,,,,,,
이제훈(5편),직업배우,생년월일1984-07-04,성별남,홈페이지 http://www.companyon.co.kr/artists/view.php?id=3,학교한국예술종합학교 연극원 연기과,소속사컴퍼니온,,,,,,
엄상현(29편),직업성우,생년월일1971-12-29,성별남,,,,,,,,,
조진웅(8편),다른 이름조원준,직업배우,생년월일1976-03-03,성별남,홈페이지 http://www.facebook.com/saram.chojinwoong,"신장/체중185cm, 98kg",학교경성대학교 연극영화,특기진도 북춤,소속사㈜사람엔터테인먼트,,,
정준호(2편),,,,,,,,,,,,
안보현(2편),직업배우,생년월일1988-05-16,성별남,홈페이지 instagram.com/bohyunahn/,,,,,,,,
설경구(11편),다른 이름薛景求,직업배우,생년월일1968-05-01,성별남,홈페이지 https://www.facebook.com/cjesgyeonggu,"신장/체중175cm, 64kg",학교한양대학교 연극영화과 학사,,,,,
이이경(4편),다른 이름YI Yi-kyung,직업배우,생년월일1989-01-08,성별남,홈페이지 https://www.instagram.com/luvlk89/,,,,,,,
구교환(4편),직업배우,생년월일1982-12-14,성별남,,,,,,,,,
홍사빈(4편),직업배우,생년월일1997-04-18,성별남,,,,,,,,,
주지훈(3편),원어명주지훈,다른 이름주영훈,직업배우,생년월일1982-05-16,성별남,홈페이지 https://www.instagram.com/_jujihoon/,"신장/체중187cm, 68kg",학교경기대학교 연기,취미컴퓨터 게임,"특기속독, 노래, 춤, 합기도, 피아노",,
염혜란(11편),직업배우,생년월일1976,성별여,,,,,,,,,
김성규(3편),직업배우,성별남,홈페이지 https://www.instagram.com/kimsungkyu_official/,,,,,,,,,
박영남(3편),직업성우,생년월일1946-10-08,성별여,,,,,,,,,
신혜선(3편),직업배우,생년월일1989-08-31,성별여,"홈페이지 https://www.facebook.com/shs831
https://www.instagram.com/shinhs831/",,,,,,,,
신승환(5편),직업배우,생년월일1978-12-12,성별남,,,,,,,,,
진선규(10편),직업배우,생년월일1977-09-13,성별남,,,,,,,,,
서재희(1편),다른 이름서은경,직업배우,생년월일1976-05-15,성별여,홈페이지 instagram.com/seojaehee_0515/,,,,,,,
손석구(4편),다른 이름SON Seok-gu,직업배우,생년월일1983-02-07,성별남,,,,,,,,
도경수(5편),다른 이름디오; D.O.; 엑소; EXO,직업배우,생년월일1993-01-12,성별남,,,,,,,,
이동욱(3편),직업배우,생년월일1981-11-06,성별남,홈페이지 leedongwook.co.kr/,"신장/체중184cm, 78kg",학교중부대학교 언론방송예술학과,취미운동,"특기농구, 스노우보드",소속사㈜점프엔터테인먼트,,,
라미란(7편),직업배우,생년월일1975-03-06,성별여,홈페이지 https://www.facebook.com/cjesmiran,,,,,,,,
박지후(3편),직업배우,생년월일2003-11-07,성별여,,,,,,,,,
공명(5편),다른 이름김동현; GONG Myoung,직업배우,생년월일1994-05-26,성별남,홈페이지 https://instagram.com/gongmyoung0526/,,,,,,,
황우슬혜(3편),다른 이름황진희,직업배우,생년월일1979-08-10,성별여,홈페이지 https://www.instagram.com/hjini0810/,,,,,,,
배성우(8편),직업배우,성별남,홈페이지 http://www.artistcompany.co.kr/portfolio-item/bae-seong-woo/,소속사아티스트컴퍼니,,,,,,,,
정준원(3편),직업배우,생년월일1988-01-13,성별남,홈페이지 instagram.com/jungjvnwon/,,,,,,,,
서현우(11편),직업배우,생년월일1983-11-20,성별남,,,,,,,,,
김희선(1편),직업배우,생년월일1977-06-11,성별여,홈페이지 https://www.instagram.com/lovely.katie.k/,신장/체중168cm,학교중앙대학교 연극영화학과,소속사힌지엔터테인먼트,,,,,
이진욱(3편),원어명이진욱,직업배우,생년월일1981-09-16,성별남,"신장/체중185cm, 71kg",학교청주대학교 환경공학 (중퇴),소속사HB엔터테인먼트,,,,,
송승헌(1편),다른 이름송승복,직업배우,생년월일1976-10-05,성별남,"홈페이지 http://www.songseungheon.com
https://twitter.com/songsh
https://www.facebook.com/officialssh
https://instagram.com/songseungheon1005/","신장/체중180cm, 70kg",학교경기대학교 다중매체 영상학부,"취미영화감상, DVD모으기, 게임하기, 골프","특기스키, 수영",,,
김희애(5편),직업배우,생년월일1967-04-23,성별여,"신장/체중164cm, 49kg",학교중앙대학교신문방송대학원 석사,"취미수영, 영화감상, 독서",특기그림 그리기,,,,,
변요한(5편),다른 이름BYUN John,직업배우,생년월일1986-04-29,성별남,홈페이지 instagram.com/byunyohan_official/,,,,,,,
홍경(3편),직업배우,생년월일1996-02-14,성별남,홈페이지 http://www.management-mmm.com/theme/mmm/02/artists.php?wr_id=28,신장/체중182cm,,,,,,,
최덕문(7편),원어명崔德文,직업배우,생년월일1970-00-00,성별남,,,,,,,,
박병은(5편),직업배우,생년월일1977-07-14,성별남,,,,,,,,,
박명훈(9편),다른 이름PARK Myung-hoon,직업배우,생년월일1975-05-28,성별남,,,,,,,,
여진구(3편),직업배우,생년월일1997-08-13,성별남,"홈페이지 http://www.jingooyeo.com
https://www.instagram.com/yeojin9oo/",신장/체중177cm,"학교신림중학교,남강고등학교","취미수영, 승마",소속사제이너스 엔터테인먼트,,,,
박지현(3편),직업배우,생년월일1994-11-26,성별여,,,,,,,,,
성동일(6편),다른 이름SEONG Dong-il,직업배우,생년월일1967-04-27,성별남,신장/체중177cm,학교유한대학 기계설계학,,,,,,
아이유(4편),다른 이름이지은; LEE Ji-eun,직업가수,생년월일1993-05-16,성별여,홈페이지 https://www.instagram.com/dlwlrma/,학교동덕여자고등학교,,,,,,
강희선(2편),직업성우,생년월일1960-12-12,성별여,,,,,,,,,
김금순(7편),직업배우,생년월일1973-08-21,성별여,,,,,,,,,
김선호(1편),직업배우,생년월일1986-05-08,성별남,홈페이지 http://instagram.com/seonho__kim,,,,,,,,
김성오(2편),직업배우,생년월일1978-09-15,성별남,"신장/체중180cm, 70kg",,,,,,,,
이희준(9편),다른 이름LEE Hui-joon,직업배우,생년월일1979-06-29,성별남,홈페이지 https://www.instagram.com/lee.hee.jun/,,,,,,,
김성철(3편),직업배우,생년월일1991-12-31,성별남,홈페이지 http://instagram.com/sungcheol2,신장/체중178cm,,,,,,,
차인표(1편),직업배우,생년월일1967-10-14,성별남,홈페이지 https://www.facebook.com/Cha-Inpyo-212953709067289,"신장/체중180cm, 82kg",학교뉴저지주립대학교 경제학,"취미인터넷 서핑 , 주식투자","특기바디빌딩, 영어",,,,
조여정(3편),원어명趙汝貞,다른 이름JO Yeo-jung,직업배우,생년월일1981-02-10,성별여,홈페이지 instagram.com/lightyears81/,"신장/체중163cm, 42kg",학교동국대학교 연극영화,취미요리(스파게티),"특기노래, 표정연기, 피아노",,
이하늬(7편),다른 이름LEE Ha-nee,직업배우,생년월일1983-03-02,성별여,"홈페이지 https://www.facebook.com/saram.leehoney
https://instagram.com/honey_lee32/",,,,,,,
류준열(8편),직업배우,생년월일1986-09-25,성별남,홈페이지 https://www.instagram.com/ryusdb/,,,,,,,,
고민시(1편),직업배우,생년월일1995-02-15,성별여,,,,,,,,,
진경(4편),직업배우,생년월일1972-03-27,성별여,,,,,,,,,
이성욱(3편),직업배우,생년월일1979-10-03,성별남,,,,,,,,,
김나율(1편),다른 이름김혜진,직업성우,생년월일1983-12-16,성별여,,,,,,,,
김태리(5편),직업배우,생년월일1990-04-24,성별여,,,,,,,,,
오민애(6편),다른 이름吳敏愛,직업배우,생년월일1965-12-17,성별여,홈페이지 instagram.com/ohmine1217/,,,,,,,
이엘(1편),다른 이름김지현; LEE El,직업배우,생년월일1982-06-26,성별여,,,,,,,,
채수빈(1편),직업배우,생년월일1994-07-10,성별여,"홈페이지 https://instagram.com/soobinms/
https://www.facebook.com/OfficialChaesoobin",,,,,,,,
원진아(1편),직업배우,생년월일1991-03-29,성별여,홈페이지 https://www.instagram.com/j0i3n2a9/,,,,,,,,
박보검(2편),직업배우,생년월일1993-06-16,성별남,홈페이지 https://twitter.com/bogummy,,,,,,,,
김남우(1편),직업배우,생년월일1987-04-30,성별남,,,,,,,,,
최낙윤(5편),직업성우,생년월일1984-01-27,성별남,,,,,,,,,
성선녀(1편),직업성우,성별여,,,,,,,,,,
김국희(6편),직업배우,생년월일1985-12-01,성별여,홈페이지 https://www.instagram.com/cookiekiku/,,,,,,,,
강태주(1편),직업배우,생년월일1995-05-19,성별남,홈페이지 https://www.instagram.com/youarethewon/,,,,,,,,
조경이(5편),직업성우,성별여,,,,,,,,,,
김도윤(2편),다른 이름김주년,직업배우,생년월일1981-08-07,성별남,,,,,,,,
김우빈(2편),다른 이름김현중,직업배우,생년월일1989-07-16,성별남,홈페이지 http://weibo.com/kimwoobin2013,신장/체중188cm,학교대경대학교,,,,,
이지현(4편),직업성우,생년월일1982-01-07,성별여,,,,,,,,,
김기현(1편),직업성우,생년월일1945-05-15,성별남,,,,,,,,,
공승연(2편),다른 이름유승연,직업배우,생년월일1993-02-27,성별여,홈페이지 instagram.com/0seungyeon/,신장/체중165cm,학교성신여자대학교 대학원 영상미디어연기학과 (석사과정),,,,,
문유강(1편),직업배우,생년월일1996-00-00,성별남,,,,,,,,,
홍소영(5편),직업성우,생년월일1971-07-31,성별여,,,,,,,,,
박시윤(16편),직업성우,성별여,,,,,,,,,,
문우진(2편),직업배우,생년월일2009-02-19,성별남,홈페이지 https://www.instagram.com/wj_2009/,,,,,,,,
임시완(3편),다른 이름ZE:A; 제국의 아이들,직업배우,생년월일1988-12-01,성별남,홈페이지 https://www.instagram.com/yim_siwang,신장/체중175cm,,,,,,
임채헌(2편),직업성우,생년월일1973-10-16,성별남,,,,,,,,,
이지원(2편),직업배우,생년월일2006-08-30,성별여,,,,,,,,,
장동건(3편),원어명張東健,다른 이름JANG Dong-Kun,직업배우,생년월일1972-03-07,성별남,홈페이지 fm-story.co.kr/main/,"신장/체중181cm, 68kg",학교한국예술종합학교 연극학 (중퇴),취미노래부르기,특기농구，아이스하키,소속사에이엠엔터테인먼트,
심달기(6편),직업배우,생년월일1999-06-12,성별여,홈페이지 instagram.com/dalki612/,신장/체중155cm,,,,,,,
안재홍(4편),직업배우,생년월일1986-03-31,성별남,홈페이지 https://www.instagram.com/aahnjaehong/,,,,,,,,
김동휘(1편),직업배우,생년월일1995-12-26,성별남,,,,,,,,,
윤아영(6편),직업성우,생년월일1986-04-08,성별여,,,,,,,,,
노윤서(1편),직업배우,생년월일2000-01-25,성별여,홈페이지 https://instagram.com/rohyoonseo/,,,,,,,,
노상현(2편),다른 이름스티브,직업배우,생년월일1990-07-19,성별남,홈페이지 https://www.instagram.com/steveshnoh/,,,,,,,
배수지(3편),다른 이름배수지;미쓰에이;수지,직업가수,생년월일1994-10-10,성별여,"홈페이지 https://twitter.com/missa_suzy
https://www.instagram.com/skuukzky/","신장/체중166cm, 47kg",학교서울 공연예술고등학교,소속사JYP엔터테인먼트,,,,
김환진(5편),다른 이름赵文赫,직업성우,생년월일1952-10-03,성별남,,,,,,,,
신예은(1편),직업배우,생년월일1998-01-18,성별여,홈페이지 https://www.instagram.com/__shinyeeun/,,,,,,,,
김해숙(6편),직업배우,생년월일1955-12-30,성별여,학교경희대학교 간호학 (중퇴),"취미음악감상, 뜨개질",특기피아노연주,소속사준앤아이,,,,,
기영도(1편),직업성우,성별남,,,,,,,,,,
나문희(9편),직업배우,생년월일1941-11-30,성별여,홈페이지 http://www.namuni.kr/,학교창덕여자고등학교,,,,,,,
이신영(1편),직업배우,생년월일1998-01-24,성별남,홈페이지 https://www.instagram.com/leesin_y/,,,,,,,,
임수정(4편),다른 이름林秀晶,직업배우,생년월일1979-07-11,성별여,홈페이지 https://instagram.com/soojunglim_/,신장/체중167cm,"취미음악, 영화감상","특기피아노, 현대무용",,,,
장동주(3편),직업배우,생년월일1994-10-25,성별남,홈페이지 http://www.artistcompany.co.kr/portfolio-item/jang-dong-ju/,소속사아티스트컴퍼니,,,,,,,
장혜진(5편),직업배우,생년월일1975-09-05,성별여,,,,,,,,,
여민정(6편),직업성우,생년월일1975-05-13,성별여,,,,,,,,,
김민주(1편),다른 이름아이즈원; IZONE,직업가수,생년월일2001-02-05,성별여,홈페이지 https://instagram.com/minn.__.ju/,,,,,,,
윤병희(6편),직업배우,생년월일1981-12-07,성별남,홈페이지 instagram.com/choorobh/,신장/체중176cm,,,,,,,
장영남(8편),다른 이름JANG Young-nam,직업배우,생년월일1973-11-25,성별여,,,,,,,,
안장혁(2편),직업성우,생년월일1968-10-08,성별남,,,,,,,,,
송중기(2편),직업배우,생년월일1985-09-19,성별남,"신장/체중178cm, 65kg",학교성균관대학교 경영학과,"취미미드, 일드 보기",특기스케이트,,,,,
고창석(6편),직업배우,생년월일1970-10-13,성별남,학교서울예술대학교 연극과,,,,,,,,
김강우(3편),직업배우,생년월일1978-07-11,성별남,홈페이지 https://www.facebook.com/cjeskangwoo,"신장/체중180cm, 70kg",학교중앙대학교 연극영화학,"취미영화감상, 운동",특기검도,소속사나무액터스,,,
유연석(3편),다른 이름안연석,직업배우,생년월일1984-04-11,성별남,홈페이지 https://instagram.com/yoo_yeonseok/,소속사이야기엔터테인먼트,,,,,,
김대중(2편),생년월일1924-01-06,사망2009-08-18,성별남,,,,,,,,,
정진운(2편),다른 이름2am; 진운,직업가수,생년월일1991-05-02,성별남,홈페이지 https://www.instagram.com/jinwoon52/,"신장/체중185cm, 72kg",학교대진대학교 연극영화학,취미악기다루기,"특기기타, 베이스, 드럼 연주, 농구",,,
유준상(5편),원어명劉俊相,직업배우,생년월일1969-11-28,성별남,"신장/체중180cm, 71kg",학교동국대학교대학원 연극,"취미음악 감상, 악기 연주, 그림 그리기, 운동","특기째즈발레, 악기연주, 노래",소속사나무액터스,,,
신민아(2편),다른 이름양민아,직업배우,생년월일1984-04-05,성별여,홈페이지 https://www.instagram.com/illusomina/,"신장/체중168cm, 47kg",학교동국대학교 연극영상학,"취미음악감상, 영화감상",특기스케이트,,,
이현우(6편),직업배우,생년월일1993-03-23,성별남,"홈페이지 https://www.instagram.com/hihyunwoo/
https://twitter.com/hihyunwoo",신장/체중170cm,학교평촌고등학교,"취미컴퓨터게임, 축구, 농구, 스노우보드",,,,,
임세미(2편),직업배우,생년월일1987-05-29,성별여,홈페이지 instagram.com/susemee/,,,,,,,,
박지영(2편),직업배우,생년월일1969-01-25,성별여,,,,,,,,,
강기둥(1편),직업배우,생년월일1987-03-25,성별남,홈페이지 instagram.com/kkddoong/,,,,,,,,
오동민(8편),직업배우,성별남,홈페이지 https://www.instagram.com/donminohs/,신장/체중173cm,,,,,,,,
윤경호(10편),직업배우,생년월일1980-07-05,성별남,홈페이지 nooncompany.kr/artists_profile.php?artist=28,,,,,,,,
박성웅(11편),직업배우,생년월일1973-01-09,성별남,홈페이지 c-jes.com/portfolio_page/park-sung-woong/,신장/체중187cm,학교한국외국어대학교 법학과,,,,,,
김다미(1편),직업배우,성별여,홈페이지 https://www.instagram.com/d_a___m_i,,,,,,,,,
송강호(13편),다른 이름宋康昊,직업배우,생년월일1967-01-17,성별남,"신장/체중180cm, 80kg",학교부산경상대학 방송연예,소속사호두엔터테인먼트,,,,,
김상호(4편),직업배우,생년월일1970-07-24,성별남,소속사심엔터테인먼트,,,,,,,,
문재인(1편),원어명文在寅,생년월일1953-01-24,성별남,,,,,,,,,
김보라(1편),직업배우,생년월일1995-09-28,성별여,홈페이지 http://instagram.com/kim_bora95,신장/체중161cm,,,,,,,
조윤희(3편),직업배우,생년월일1982-10-13,성별여,홈페이지 instagram.com/mixnutcookie/,,,,,,,,
김의성(11편),원어명金義城,직업배우,생년월일1965-12-17,성별남,홈페이지 www.artistcompany.co.kr/portfolio-item/kim-eui-sung/,소속사아티스트컴퍼니,,,,,,
정용주(2편),직업배우,생년월일1996-07-27,성별남,홈페이지 http://www.instagram.com/odo.kr/,,,,,,,,
류승룡(6편),다른 이름류승용; 유승룡,직업배우,생년월일1970-11-29,성별남,"신장/체중175cm, 72kg",학교서울예술대학 연극,소속사필름있수다,,,,,
이호정(2편),직업모델,생년월일1997-01-20,성별여,홈페이지 instagram.com/holly608/,,,,,,,,
홍범기(4편),다른 이름HONG Bum-gi,직업성우,생년월일1974-12-16,성별남,,,,,,,,
김영옥(2편),직업배우,생년월일1937-12-05,성별여,,,,,,,,,
최한(3편),직업성우,생년월일1976-08-08,성별남,,,,,,,,,
빈찬욱(1편),직업배우,생년월일1996-00-00,성별남,홈페이지 th-company.co.kr/actors/bin_chanuk/,신장/체중187cm,학교세종대학교 영화예술학과,,,,,,
진영(2편),다른 이름정진영; 비원에이포; B1A4,직업가수,생년월일1991-11-18,성별남,홈페이지 https://instagram.com/jinyoung0423/,신장/체중178cm,,,,,,
조현정(9편),직업성우,생년월일1978-07-25,성별여,,,,,,,,,
정재헌(15편),직업성우,생년월일1975-04-18,성별남,,,,,,,,,
김민주(4편),직업성우,성별남,,,,,,,,,,
이경진(2편),직업배우,생년월일1956-10-02,성별여,소속사비에스스타엔터테인먼트,,,,,,,,
강기영(4편),직업배우,생년월일1983-10-14,성별남,홈페이지 https://instagram.com/kiyoung.kang.5/,,,,,,,,
정승길(3편),직업배우,생년월일1972-08-10,성별남,,,,,,,,,
김주령(7편),다른 이름金姝伶,직업배우,생년월일1976-09-10,성별여,홈페이지 instagram.com/kimjooryoung/,학교동국대학교 연극영화과,,,,,,
김택(1편),직업배우,생년월일1998-12-26,성별남,홈페이지 https://www.instagram.com/___taegie/,,,,,,,,
박정화(1편),다른 이름정화; EXID; 이엑스아이디,직업배우,생년월일1995-05-08,성별여,홈페이지 https://www.instagram.com/parkjjongaa,신장/체중168cm,,,,,,
이선호(3편),직업성우,생년월일1960-05-05,성별여,,,,,,,,,
이상이(1편),직업배우,생년월일1991-11-27,성별남,홈페이지 https://www.instagram.com/leesangyi_/,,,,,,,,
김하영(1편),직업성우,성별여,,,,,,,,,,
안은진(2편),직업배우,생년월일1991-05-06,성별여,홈페이지 https://www.instagram.com/eunjin___a,,,,,,,,
남도형(10편),직업성우,생년월일1983-03-12,성별남,,,,,,,,,
이레(5편),직업배우,생년월일2006-03-12,성별여,홈페이지 https://www.facebook.com/leere.vv/,,,,,,,,
